"filename", "language", "Ignore", "json", "Svelte", "JavaScript", "Markdown", "JSON", "YAML", "HTML", "CSS", "comment", "blank", "total"
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/+layout.svelte", "Svelte", 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, -2, -39
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/+page.server.js", "JavaScript", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -2, -10
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/account/+page.server.js", "JavaScript", 0, 0, 0, -56, 0, 0, 0, 0, 0, 0, -8, -64
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/account/+page.svelte", "Svelte", 0, 0, -99, 0, 0, 0, 0, 0, 0, 0, -6, -105
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/profile/+page.server.js", "JavaScript", 0, 0, 0, -40, 0, 0, 0, 0, 0, -1, -9, -50
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/profile/+page.svelte", "Svelte", 0, 0, -106, 0, 0, 0, 0, 0, 0, 0, -8, -114
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/security/+page.server.js", "JavaScript", 0, 0, 0, -26, 0, 0, 0, 0, 0, -1, -6, -33
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/security/+page.svelte", "Svelte", 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, -2, -41
"c:/Users/r3dux/Repositories/project-nexum/src/routes/pages/[pageId]/+page.server.js", "JavaScript", 0, 0, 0, -84, 0, 0, 0, 0, 0, 0, -16, -100
"c:/Users/r3dux/Repositories/project-nexum/src/routes/pages/[pageId]/+page.svelte", "Svelte", 0, 0, -282, 0, 0, 0, 0, 0, 0, -16, -33, -331
"c:/Users/r3dux/Repositories/project-nexum/src/routes/pages/[pageId]/edit/+page.server.js", "JavaScript", 0, 0, 0, -57, 0, 0, 0, 0, 0, -1, -11, -69
"c:/Users/r3dux/Repositories/project-nexum/src/routes/pages/[pageId]/edit/+page.svelte", "Svelte", 0, 0, -146, 0, 0, 0, 0, 0, 0, -2, -12, -160
"c:/Users/r3dux/Repositories/project-nexum/src/routes/pages/new/+page.server.js", "JavaScript", 0, 0, 0, -35, 0, 0, 0, 0, 0, -1, -9, -45
"c:/Users/r3dux/Repositories/project-nexum/src/routes/pages/new/+page.svelte", "Svelte", 0, 0, -74, 0, 0, 0, 0, 0, 0, -2, -8, -84
"c:/Users/r3dux/Repositories/project-nexum/src/routes/people/+page.server.js", "JavaScript", 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, -5, -46
"c:/Users/r3dux/Repositories/project-nexum/src/routes/people/+page.svelte", "Svelte", 0, 0, -42, 0, 0, 0, 0, 0, 0, -1, -5, -48
"c:/Users/r3dux/Repositories/project-nexum/src/routes/people/[profileId]/+page.server.js", "JavaScript", 0, 0, 0, -99, 0, 0, 0, 0, 0, 0, -15, -114
"c:/Users/r3dux/Repositories/project-nexum/src/routes/people/[profileId]/+page.svelte", "Svelte", 0, 0, -137, 0, 0, 0, 0, 0, 0, -6, -14, -157
"c:/Users/r3dux/Repositories/project-nexum/src/routes/register/+page.server.js", "JavaScript", 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -6, -29
"c:/Users/r3dux/Repositories/project-nexum/src/routes/register/+page.svelte", "Svelte", 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, -5, -46
"c:/Users/r3dux/Repositories/project-nexum/src/routes/reset-password/+page.server.js", "JavaScript", 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -3, -18
"c:/Users/r3dux/Repositories/project-nexum/src/routes/reset-password/+page.svelte", "Svelte", 0, 0, -43, 0, 0, 0, 0, 0, 0, 0, -2, -45
"c:/Users/r3dux/Repositories/project-nexum/svelte.config.js", "JavaScript", 0, 0, 0, -13, 0, 0, 0, 0, 0, -4, -4, -21
"c:/Users/r3dux/Repositories/project-nexum/tailwind.config.cjs", "JavaScript", 0, 0, 0, -41, 0, 0, 0, 0, 0, -1, -5, -47
"c:/Users/r3dux/Repositories/project-nexum/tests/test.js", "JavaScript", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:/Users/r3dux/Repositories/project-nexum/vite.config.js", "JavaScript", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -2, -10
"Total", "-", 0, 9, 272, -1060, -34, -55, -1802, -16, -75, -196, -486, -3443
